local_x,local_y,road_z,lanelet_id
-7.396439150000000495e+01,2.240138500000000032e+00,-1.194000000000000061e-01,2.600000000000000000e+02
-7.693191785440097874e+01,2.220470672694280445e+00,0.000000000000000000e+00,2.600000000000000000e+02
-7.990657901424046372e+01,2.200754558795148697e+00,0.000000000000000000e+00,2.600000000000000000e+02
-8.288124016800159666e+01,2.181037527957247590e+00,0.000000000000000000e+00,2.600000000000000000e+02
-8.585590095385923348e+01,2.161265076859222312e+00,0.000000000000000000e+00,2.600000000000000000e+02
-8.883056166066207027e+01,2.141480729344803713e+00,0.000000000000000000e+00,2.600000000000000000e+02
-9.180522236417229465e+01,2.121695886703589551e+00,0.000000000000000000e+00,2.600000000000000000e+02
-9.477988307099718668e+01,2.101911542506124775e+00,0.000000000000000000e+00,2.600000000000000000e+02
-9.775454377448741639e+01,2.082126696861115622e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.007292044779949549e+02,2.062341853815819803e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.037038741052638358e+02,2.043979088650359710e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.066785517804226657e+02,2.026935910350664116e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.096532294527002875e+02,2.009892229202687286e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.126279071278591175e+02,1.992849050902991914e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.156025848001530107e+02,1.975805372597549514e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.185772624753118123e+02,1.958762194294795034e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.215519401504542145e+02,1.941719013127345850e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.245266178227482357e+02,1.924675334841003949e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.275012954979070372e+02,1.907632156538249246e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.304759731730658245e+02,1.890588978235494100e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.334506508496519075e+02,1.873546049057599028e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.364253285262314819e+02,1.856503118748878300e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.394000062013902834e+02,1.839459940446123154e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.423746838765491134e+02,1.822416762143368452e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.453493615516485420e+02,1.805373573479102323e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.483240392268499477e+02,1.788330402673165231e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.512987169020087777e+02,1.771287224370410529e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.542733945771676076e+02,1.754244046067655827e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.572480722523053487e+02,1.737200864093227937e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.602227499274527815e+02,1.720157683800964232e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.631974276054760367e+02,1.703115005484856948e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.661721052805606860e+02,1.686071814239136657e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.691467829529289020e+02,1.669028148901878783e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.721214606280713326e+02,1.651984967737489152e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.750961383032301626e+02,1.634941789437793336e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.780708159812534177e+02,1.617899111121686051e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.810454936564122477e+02,1.600855932821990901e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.840201713315546783e+02,1.583812751657600160e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.869948491466243468e+02,1.566794043550615578e+00,0.000000000000000000e+00,2.600000000000000000e+02
-1.899354744999999980e+02,1.550041000000000224e+00,-2.626000000000000001e-01,2.600000000000000000e+02
-7.391017600000000698e+01,-3.220622500000000166e+00,-1.194000000000000061e-01,2.610000000000000000e+02
-7.486709849999999733e+01,-3.226932999999999829e+00,-1.554999999999999993e-01,2.610000000000000000e+02
-1.969328239999999823e+02,7.247429000000000343e+00,-3.118000000000000216e-01,5.030000000000000000e+02
-1.969444683460761780e+02,1.018340492077576442e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.969563046576533338e+02,1.316687331250423298e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.969681409375089345e+02,1.615034170435855287e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.969800363479737939e+02,1.913380986014199081e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.969922211917784409e+02,2.211727684854706411e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970044115409232290e+02,2.510074381467289584e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970166019393233796e+02,2.808421078059980402e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970287923215543628e+02,3.106767774659521919e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970409818748360067e+02,3.405114471597548231e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970531793298014236e+02,3.703461165306386249e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970653689808866602e+02,4.001807862204755395e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970775590438167910e+02,4.300154558934821125e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.970897487507040466e+02,4.598501255810042210e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971019387177186957e+02,4.896847952578959706e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971141288281886546e+02,5.195194649289045685e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971263189559654165e+02,5.493541345991789626e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971385087570924384e+02,5.791888042827361005e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971506987569304670e+02,6.090234739581282497e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971628892561133739e+02,6.388581436130851898e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971750792566023165e+02,6.686928132884602860e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971872695679910521e+02,6.985274829511740791e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.971994596646222817e+02,7.283621526227264553e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.972116600266762134e+02,7.581968218747530841e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.972238505595288984e+02,7.880314915285126176e+01,0.000000000000000000e+00,5.030000000000000000e+02
-1.972360408856255276e+02,8.178661611907592999e+01,0.000000000000000000e+00,5.030000000000000000e+02
